user,tweet,location,date,sentiment
Socialist on Main Capitalism is Eugenics.,"RT @brookebons: Between my Trump-voting family, some of the gross guys I’ve dated, and  a predatory boss, misogyny affects me every single…",Civility only aids gatekeepers,2020-01-14 15:28:33,neutral
❌Donna ⏳#3Stars4GenFlynn ⭐️⭐️⭐️ #FreeJulian❌,"RT @DeAngelisCorey: 67% of tonight's #DemDebate participants attended private schools or sent their own kids to private schools.

Why don't…",None,2020-01-14 15:28:33,positive
cabral,Bernie was pro-choice when it was politically unpopular. Before Roe v Wade. Before it was part of the democratic pl… https://t.co/acJxUmZoBi,"Nevada, USA",2020-01-14 15:28:33,neutral
Barbara E.H. Bailey,RT @realDonaldTrump: Bernie Sander’s volunteers are trashing Elizabeth “Pocahontus” Warren. Everybody knows her campaign is dead and want h…,None,2020-01-14 15:28:33,negative
OneSweetShannon,@ginny_brett @girlsreallyrule @BernieSanders @Twitter @warren Sorry that Bernie has so many supporters. It shouldn'… https://t.co/J7pGujggoa,New York State,2020-01-14 15:28:34,neutral
Joel Kurtinitis,She deserves every bit of this.,"Des Moines, IA",2020-01-14 15:28:34,neutral
"Gen JC Christian, Patriot, Expertise Expert",RT @GarbageApe: lol warren fucked this up so bad https://t.co/XBDrD74oxT,"Evanston, WY",2020-01-14 15:28:34,negative
David Paul Matthews,"If @WalshFreedom is speaking the truth, would it make a difference in your vote?
We need an all Blue Congress, but… https://t.co/m0euQWwIoG","Ogden, UT",2020-01-14 15:28:34,neutral
TRUMP FEARS BERNIE 2020 Rose Emoji Blue Check,@ZaidJilani The Warren campaign's meltdown is not what I expected and it is VERY embarrassing #RefundWarren #ITrustBernie,None,2020-01-14 15:28:34,positive
Lila Byock,"I accidentally tweeted something positive about both Warren and Sanders, so naturally a stranger is having an absol… https://t.co/ZPCBhDMp0G",Los Angeles / Montana,2020-01-14 15:28:35,positive
CoffeyJPC 🇺🇸,RT @pvtjokerus: Does anyone with an IQ above a plankton believe this? https://t.co/7v2cu4ho2O,"Illinois, USA",2020-01-14 15:28:35,neutral
Spry Guy,"RT @pavanvan: ""Well Trump gets to ignore the Constitution, so that means we should get to ignore it too!"" is not quite moral high ground yo…",Austin,2020-01-14 15:28:35,positive
RobMaga567 Text Trump to 88022,"RT @molratty: In other news, she cannot.",None,2020-01-14 15:28:35,negative
Jill Konopka,RT @WNYT: Warren: Sanders didn't think a woman could win White House https://t.co/DzGRfCM3cp https://t.co/kyCqfMA8ey,"Albany, NY",2020-01-14 15:28:36,positive
Paul Adrian Fried,"@Tatiacha @notcapnamerica Maybe, but there are plenty of corporate Dems &amp; GOP who would also like to divide &amp; conqu… https://t.co/CnQ3ypQe9Z",None,2020-01-14 15:28:37,neutral
#BernieWillWin,"RT @RogueOpsCommand: Hahaha
#RefundPete
Is making my morning
It's like Christmas came early.

I wonder if #RefundWarren can be a thing?

I…","NYC, LA, Tunis ",2020-01-14 15:28:38,positive
"🇺🇸 Cult member #69,000,000🇺🇸2020 🇺🇸",RT @DonaldJTrumpJr: If @ewarren can’t take the heat she should get out of the teepee!,United States,2020-01-14 15:28:38,neutral
Lavish 💡,"RT @KatzOnEarth: The most shocking thing, to me, about the Sanders/Warren story is that Donald Trump laundered money from the Islamic Revol…",Keeping my eye on the sun,2020-01-14 15:28:38,negative
indigo,Elizabeth Warren is now liberal white women’s Joan of Arc. I hate it here! Free me!,"Queens, NY",2020-01-14 15:28:38,negative
mary langan⭐️⭐️⭐️for General Flynn,RT @pvtjokerus: Does anyone with an IQ above a plankton believe this?,None,2020-01-14 15:28:39,neutral
The Angriest Angel 🆘,"RT @peterdaou: ...Warren's campaign put out a statement that effectively calls #Bernie sexist and then claims to want to move on.

The net…","Midwest, Hell",2020-01-14 15:28:39,positive
Delia O' Riordan,"Anna Kasparian takes no prisoners! She rolls right over Warren smear campaign against Sanders. Cogent, well-argued… https://t.co/4L5LfoNz5M",Canada,2020-01-14 15:28:39,positive
David Burnham USMC⭐️⭐️⭐️,RT @MikeThePlumbe10: 👹DEMS👹 PUT THEIR OWN 🦾POLITICAL🦾 POWER🦾 AHEAD OF WHATS IN THE BEST INTEREST OF OUR 🇺🇸NATION🇺🇸,"Florida, USA",2020-01-14 15:28:39,positive
Contented Independent,RT @MattBoxer94: This bypassing of congress is why she doesnt have any non-progressive endorsement outside of Massachusetts and even there…,"Virginia, USA",2020-01-14 15:28:39,neutral
MLHarrisAuthor,Unfortunately the entire field is either too old or too weak to beat #POTUS45. #Dems need to pull together and focu… https://t.co/DBla9bQx0e,"Tampa, FL",2020-01-14 15:28:40,negative
Marc (2019 GAMES LIST PINNED),@PropterMalone If he wins it might ruin everything and we might get no progressive legislation and we might (will d… https://t.co/kjv7rGZbGM,"New York, NY",2020-01-14 15:28:40,positive
⚡️Progressive Magi⚡️#theSquad,RT @ThinklyShop: Just requested my #Warren donation back from @actblue. I donated in the beginning in the spirit of progressive camaraderie…,nomadic,2020-01-14 15:28:40,neutral
