tweet,sentiment,polarity_score
"Kathleen Willey: Hillary is a fake feminist. A champion of women does not attack the victims of sexual assault and rape."" #WomenWhoVoteTrump ",neutral,0.0
RT  Hillary seen selling fake drugs in the hood #TrumpsFavoriteHeadline,negative,-0.5
RT  Clinton loss in West Virginia signals trouble in Rust Belt ,negative,-0.2
RT  BREAKING: Democrats Are Looking At Having Hillary Step Down!  ,negative,-0.19444444444444448
RT if you also think that  has done great service for the Americans exposing Hillary's corruption!  #FridayFeeling ,positive,1.0
"RT  Putin, David Duke, Birther, this is what is left of the Hillary campaign. Donald and the Deplorables 2016!",neutral,0.0
"MafiaBossTOOK JOB TO LINE HER POCKET Clinton struggled to fit in with Obama's White House, emails show via  ",positive,0.2
"MSM blames EVERYONE for Clinton's loss.  In fact, she lost only because of her own stupidity.  Stop being in denial. Grow some balls.  #MAGA ",neutral,0.0
RT  Step One: Go back in time to 2011 to stop Hillary and Obama from overthrowing Gaddafi.   She was PROUD of this.   Now t…,positive,0.4
How could she be so inattentive?? #WhatClintonWrites,neutral,0.0
#DEMDebate America will always remember hillary,neutral,0.0
RT  “Last night I congratulated Donald Trump and offered to work with him on behalf of our country.” —Hillary,neutral,0.0
Hillary once again demonstrates she doesn't know what is hyperbole. #Debates2016 #Debatenight,neutral,0.0
RT  Margaret Sanger Fan Hillary Clinton Talks Race in Ferguson   - My American Thinker piece - https…,neutral,0.0
"We had 16 great Candidates, Trump won &amp; Hillary had nothing to offer but an extention of Obamas misery &amp;delusional success #LeftieFraudsters",positive,0.55
The only way these two and their cronies have silenced whistleblowers all this while...#LockHerUp #ClintonBodyCount ,neutral,0.0
"Clinton vows never to use American troops in #Iraq, #Syria  ",neutral,0.0
RT  The highlighted is for Hillary or trump trolls &amp; those who want to settle and don't want it called slavery$drudgery https:/…,neutral,0.0
Obama and the Clintons: Top Dems mingle on Martha's Vineyard  #politics,positive,0.5
RT RepStevenSmith: FLASHBACK: KKK endorsed Hillary. #Charlottesville #UniteTheRight ,neutral,0.0
"Live: Clinton, Sanders, O'Malley face off in second Democratic debate  #politics",positive,0.06818181818181818
"Analysis: Clinton, Trump tax plans are ""mirror images"" ",neutral,0.0
RT  #Clinton’s foundation pay for play-two favours for #Moroccan officials netted them $28 million  ,neutral,0.0
"Small town in America knows what is right. Hillary Clinton isn't too big for jail, she will fit there perfectly! ",positive,0.22261904761904763
#Clintons have been rigging the #CorruptMedia for years. #ClintonCorruption #NeverHillary  #Election2016 #Trum… #TrumpForPresident,neutral,0.0
RT  As I've been sayin👇the Hillary/MSM attempt to make Trump a RUSSIAN🕵AGENT is COMICAL! 😂 Newt &amp;  agree! https:/…,positive,0.78125
"RT  #MAGA 🇺🇸 #News from  | Day 198 #Hillary's #Hackers, #AwanBrothers Saga Deepens, Part 1  ",neutral,0.0
RT  #Gowdy - #HillaryClinton hater! Members of #Congress can keep firearms in their offices.     via …,neutral,0.0
RT  Bernie Sanders Calls Bill Clinton’s White House Sex Scandal ‘Totally Disgraceful’. Enough!! #NeverEverHillary  ,neutral,0.0
"RT  . ""If you've ever dealt with the Clinton machine, you know it's always been about self-preservation."" #Hannit…",neutral,0.0
"RT  The Democratic establishment thinks Tim Kaine, Cory Booker, and Chelsea Clinton are the future. This is how out of touch…",neutral,0.0
"Clinton says private email was a mistake, says she's sorry  #politics",negative,-0.25
"Trump, Clinton aim to pad delegate lead in Western states  #politics",neutral,0.0
RT vbislands: InTheYear1611_ BarbMuenchen JaredoTexas This was the best night of my life seen Hillary supporters crying 😭,positive,0.4
My teacher is Mrs. dog poo. She is Feces. No. My friend babysat is Obama shop and Metamucil Fart.  Hillary Clinton no way ,neutral,0.0
RT  . &amp;  stopped by Little Haiti- FL. last week. They weren't too happy w/ the Clintons! #MAGA https:…,positive,0.2708333333333333
RT  Press Told There Will Be 'NO Opportunities to Interview Hillary Clinton' via #dailysurge ,neutral,0.0
"RT  #Savage: Hillary’s ‘Deplorables’ Are ‘the Backbone of America,’  ",neutral,0.0
"Sarah Sanders: ""Everything the Clinton campaign &amp; DNC were falsely accusing  of doing, they were doing."" ",negative,-0.4000000000000001
RT  Obama is silent on the NY/NJ terror bombings because the narrative makes Hillary look bad. Simple as that. ,negative,-0.23333333333333328
RT  #HillaryPickUpLines  Come on over I'll wear that blue dress that I wouldn't wear for bill.,neutral,0.0
#ChristmasAftermath Santa didn’t give Hillary a ‘get out of jail’ card,negative,-0.1
"Clinton Leads Trump in PA., FL. in Pre-Video WSJ/NBC/Marist Poll  #politics",neutral,0.0
"RT  ""It is pitchfork and torches time in America"" #TrumpPence2016  #NeverHillary ",neutral,0.0
RT  😂😂😂 Failed Obama blames Media for Hillary Clinton's LOSS on OVER COVERAGE of #Wikileaks ??#LeaksNotHacksBarry #Presscon…,negative,-0.5
"RT  CNN's Cuomo Grills Trump Surrogate On ""Hypocrisy"" Behind Trump's Attacks On Clintons ",negative,-0.4
RT  You should be in jail #CrookedHillary ,negative,-0.1
#ILoveHillary #IloveObama Sweet 16 for Hillary! #JebWeCan #Clinton2016,positive,0.4375
RT  Romney Wanted 2 Defund Hillary's #PlannedParenthood Baby Body Chop Shop:  #DefundPP ,neutral,0.0
#IfHillaryBecomesPresident flash tattoos always on discount ,neutral,0.0
"Hillary Clinton is a threat to our soldiers, a threat to our peace and a threat to our security. ",neutral,0.0
RT  From Whitewater to Benghazi: A Primer on Bill and Hillary Clinton Scandals - The Atlantic ,neutral,0.0
RT       oops Hillary is the racist ,neutral,0.0
RT  Hillary Put Syrian Refugees Over Black Voters Best Interest Who Vote Liberal 93%   #MAGA #41 ,positive,0.4166666666666667
Hillary Clinton: Obama 'Doesn't Get the Credit He Deserves': Hillary Clinton threw President Obama an olive branch Monday. ,neutral,0.0
#politics Trump: Clinton Was 'Nasty Enabler' of Husband's Affairs,negative,-1.0
It would be GREAT to have a woman in the White House. Just not this one #HillaryNoThnx,positive,0.4
"RT  New Bloomberg poll, all post-Comey, finds Clinton leading Trump among independents by four points ",positive,0.13636363636363635
RT  Roger Stone Breaks Down Why Hillary Is Pushing Trump Election Recount   Full...  by #RogerJStoneJr…,positive,0.0972222222222222
So you love the fact that the Crooked Clintons used  charity cash for  wedding instead of poor Haiti kids?! ,neutral,0.0
RT  Sen. Warner is claiming Russia gamed Google's algorithm to help Trump. The exact opposite happened. Google helped Hillary…,positive,0.125
RT  The day after Trump gets elected it'll be time to take out the trash! #NeverHillary #MAGA 🚂💨💨💨🇺🇸 ,neutral,0.0
RT  #DishonestMedia CNN Alters Trump Tweet By Scrubbing 'Crooked' Moniker to Describe Hillary #CrookedHillary  ,neutral,0.0
RT  WAKE UP AMERICA ... Clinton Goal is NWO At ANY COST‼️  Wikileaks Reveal Clinton Ties To Rothschilds And Occult Cabal htt…,neutral,0.0
Hillary may cancel her debate appearance on Monday. I wonder why.... 🤔🤔🤔 ,neutral,0.0
". It's time to investigate Podesta and his brother, as well as Hillary Clinton! RT if you agree! ",neutral,0.0
#politics Hillary Clinton Slams Trump In Front of His Casino,neutral,0.0
"#TopNews Challenged by Republicans, Clinton defends her Benghazi record",neutral,0.0
RT  Hillary Clinton wants to bring more Muslims to our country. Vote for Donald Trump!,positive,0.4125
RT  Whoa: L.A. Times tracking poll has Trump up by 5.9% nationally! #NeverHillary #TrumpPence2016  ,neutral,0.0
RT  Stronger Together. -Jake Fuller cartoon  #TCOT #LNYHBT #TGDN #OhHillNo #NEVERhillary #MAGA ,neutral,0.0
.  You call this a majority for #CrookedHillary?! ,neutral,0.0
"The Faces of Arrogance. Come on America, is This What You Really Want? #Corruption #NeverHillary ",positive,0.2
Why Nina Turner's shift from Hillary Clinton to Bernie Sanders matters: Ohio Politics Roundup: Nina Turner is fe...  #Cleveland #politics,neutral,0.0
"""What's going on with Hillary Clinton – there is no justice in this country. Zero."" ~ Donald Trump  #DrainTheSwamp ",neutral,0.0
RT  MT  #GunRights are one of #Hillary's primary targets! #NeverHillary #NRA #2ADefenders ,positive,0.5
"RT  If you think tying a cherry stem in a knot with my tongue is impressive, wait until you see my SuperPAC. #HillaryPickUpLines",positive,1.0
"#TrumpBecause we don't want another drunk Joe Biden, Progressive Hillary Clinton or Liberal Jeb Bush in our White House! #Trump2016",negative,-0.25
RT  Hillary Clinton #MustBeBanned from entering the USA,neutral,0.0
In the battle for Hollywood endorsements - and cash - Clinton rules  #life,neutral,0.0
10 things I hate about Monica #MakeAMovieHillary,negative,-0.8
RT  Hillary claiming an investigation into Uramium One is an abuse of Justice is like Al Capone claiming Elliot Ness was ha…,neutral,0.0
RT  Fmr Deputy FBI Director 'The Clintons are a crime family’ - Allen West Republic ,neutral,0.0
RT  🤕#SICKHILLARY 🤕#LYINGHILLARY 🤕NOT PNEUMONIA 🤕SEIZURES NOT NEW 🤕MED RECORDS 🤕#HillarysHealth  🤕#BasketOfDeplorables https:/…,negative,-0.06818181818181818
Mainstream Media Hides Ongoing Hillary Backlash Within #DemConvention  ,neutral,0.0
RT  #DNCinPHL has started so as our game! Let's imagine #IfHillaryBecomesPresident and have fun! ,negative,-0.0625
RT  What the Old Media won't tell you. Hillary Approved Sending Sarin Gas to Syria. #IdiotDems #SyriaGasAttack #MSM ,positive,0.1
RT  BREAKING: TRUMP ATTACKER and Hillary Supporter – Has HIS DEAD GRANDMA VOTING at His Reno Address 6 times by mail ,negative,-0.2
Beast and the Beast #MakeAMovieHillary,neutral,0.0
"The results of Obama &amp; Hillary's Interventionism: Iraq, Libya, Yemen, Syria #Aleppo  Nation building at its finest! ",neutral,0.0
One fact about Hillary Hillary was fired from the Watergate investigation for lying and unethical behavior in 1974 ,neutral,0.0
RT  Clinton Wrong: Supreme Court Says 'Stop-and-Frisk' Is Constitutional - Breitbart  via ,negative,-0.5
Hillary Clinton has no rights to be a candidate. She should be in prison! And hordes of mindless liberals won't save ,negative,-0.2
 This has gone way out of control. keep her our of the White House #NeverHillary Sign this petition  ,neutral,0.0
RT  Both Women Suddenly Accusing Trump Of Sexual Assault Are Hillary Clinton Supporters And Donors  via ,positive,0.25
"RT  NC Elon: Clinton +1, Last poll in late September was Clinton+6 ",negative,-0.15
#HillaryClinton struggles to stand while abruptly leaving 9/11 memorial #MedicalEpisode ,negative,-0.125
RT  Kaine keeps getting creepier #KaineWreck #kaineTheKlown #KaineMostAnnoyingPolitician #NeverHillary #TrumpPence16 #TrumpTrain…,neutral,0.0
Clinton takes most campaign cash from the drug industry -- her “enemy”? #HillaryForPrison ,positive,0.5
RT  Come here or I'll break your dick off #HillaryPickUpLines,neutral,0.0
"RT  Navy sailor’s ‘Hillary' defense fails, gets one year in prison - NY Daily News  #VPDebate  ",negative,-0.25
Clinton presses for debate before New Hampshire primary  #politics,positive,0.2681818181818182
RT  Hillary Clinton docs reveal that #Saudi and #Qatar funded ISIS ,neutral,0.0
RT  #CashinIn    Hillary will never submit to an independent health exam. You don't have to be an MD to see she…,neutral,0.0
RT  #HillarySoQualifed she actually has a strategy for governing. ,neutral,0.0
"Dismayed 'Values' Voters, Fearful of Clinton, Learn to Live With Trump  #politics",negative,-0.38181818181818183
RT  Voting For Hillary  #LostIn3Words,neutral,0.0
RT  #BillClinton #HillaryClinton #ClintonFoundation raked in $10bn &amp; built 6 houses in #Haiti betraying the #Haitians: https:/…,neutral,0.0
#INeedALawyerBecause I can't stand working among Hillary and Trump supporters,neutral,0.0
"Deputies recover body from Clinton River Spillway: Body identified as Gregory Allen Wilson, 54         #breaking",neutral,0.0
Bill Clinton to headline fundraiser in #Seattle on Friday for #HillaryClinton  ,neutral,0.0
New Reuters Poll Shows Bernie Sanders Taking National Lead #BernieOrBust is sweeping the nation!  #NeverHillary  ,positive,0.17045454545454544
Clinton asks State to release emails  #politics,neutral,0.0
RT  💤#LowEnergy #HillarysHealth 💤 Kurtz: Clinton Press Conference Performance Was 'Extraordinarily Low Key'  ,neutral,0.0
RT  Hillary Clinton’s top five VP picks:  ,positive,0.5
RT  Communist countries that offer political asylum for scumbags.  #ThingsHillaryGoogles,neutral,0.0
"RT  RELEASE: Hillary Clinton's Private #GoldmanSach's Paid Speechs - full transcripts, see ""attachments"" tab at top ",positive,0.2833333333333333
"RT  . destroyed evidence under Congressional subpoena, lied about it... again #NeverHillary ",neutral,0.0
#FBI tracking path of classified email from State Department to #HillaryClinton ,neutral,0.0
RT    The statue of liberty crying?  Must have heard HILLARY may be running for mayor of New York,negative,-0.03181818181818183
"RT  #HillaryClinton, from a podium with the official US presidential seal, held her final rally in #Philadelphia, PA ",neutral,0.0
"RT  Trump is doing a rally at 12:30 eastern on Saturday night. Guarantee Hillary is sleeping, like during Benghazi!",neutral,0.0
Martha Stewart went to jail for lying to the FBI one time  Hillary Clinton did it - 39 times  #PodestaEmails10 #BillyBushMadeMeDoIt ,negative,-0.1
James Comey was right to send Clinton letter: Darcy cartoon  #politics,positive,0.2857142857142857
RT  Be the voice for these 4 men that Hillary left for dead. #Benghazi #ElectionDay ,negative,-0.1
"Hillary takes some blame, lashes out in new book: Does it still matter? ",positive,0.13636363636363635
"15,000 Newly Discovered Hillary Clinton Emails  Perjury &amp; Obstruction?  #HillarysEmails ",positive,0.13636363636363635
RT  Hey maybe #PresidentTrump Can you give #CrookedHillary a job? He can make her the ambassador to Libya... 😎,neutral,0.0
#politics Clinton faulted on emails by State Department audit,neutral,0.0
RT  💥💥 NATIONAL SECURITY   In my opinion #HillaryClinton herself is perhaps the biggest threat to National Security💀💀💀 ,neutral,0.0
#politics N.C. man’s obituary asks voters to reject Hillary Clinton,neutral,0.0
RT  #IfHillaryBecomesPresident Fire and brimstone coming down from the skies! ... Rivers and seas boiling! ... dogs and cats liv…,negative,-0.24305555555555558
"RT  If this test is confirmed, it will be just the latest example of the failed Obama-Clinton foreign policy. (3/5)",positive,0.06875
RT  💥#Hillary ignored over 600 security requests from #Benghazi  👉Then wiped #HillarysEmails  ☠She REFUSED 2 help🇺🇸  🤔Why campai…,neutral,0.0
"RT  Roberts didn't want to deny Democrats ACA. Comey/DOJ didn't want to deny Hillary the WH. The media should be outraged, they…",negative,-0.9
RT  #GrowingUpWithObama is the worst thing ever happend to America is #MoreTrustedThanHillary,negative,-1.0
"RT  Hillary believes she ""was on the way to winning,"" which she must think is in the opposite direction of Wisconsin ",positive,0.25
RT  I TOLD YOU ALL ! ! ! 😀 😉 👅 👍   #HillaryEmails #Trump #MAGA Huma Abedin Anthony Weiner ,neutral,0.0
"Clinton focuses on general, while Sanders sticks to script  #Texas",positive,0.05000000000000002
"A president can sometimes offend people, but Hillary's deadly mistakes should take her out of the race. ",negative,-0.2
"RT  Yes, Dems worried about Hillary being too out of touch are gonna rally around Bloomberg. Come on, people.",neutral,0.0
"RT  #MAGA 🇺🇸 #News from  | Day 199 - #Hillary's #Hackers, #AwanBrothers #BP Bridges  Part 2  cc:   ",neutral,0.0
RT  NYPD Betrays FBI: Says Seized Laptop Shows Clinton Covered Up Weiner’s Child Sex Crimes ,neutral,0.0
"Hillary's #climateofhate:  ""F—k this flag"": Anti-Trump protester antagonizes vet daughter outside DC hotel opening  ",neutral,0.0
RT  #Debate #Iamwithher #StrongerTogether #Rigged #VoterSuppression Welcome to the UNDemocratic party #NeverHillary  https…,positive,0.8
"RT  Wisconsin #Recount Day6  Trump 880,796  (53.2%) Clinton 775,887 (46.8%)  #ElectionDay Trump 1,404,440 (50.4%) Clinton 1…",neutral,0.0
#HillaryClinton says #BaltimoreRiots shows justice system 'out of balance'. Everyone should be respected by the law ,neutral,0.0
RT  VIDEO: Judicial Watch just caught the FBI hiding 30 Lynch-Clinton tarmac meeting documents! ,neutral,0.0
"RT  WTF?  Hillary wants to fund Iran's TERRORISM so that it can gain ""Hegemony"" in MID EAST!    #Pode…",negative,-0.09999999999999999
"RT  Seriously, who sent this tacky photo of  I had to tweet?   #NeverHillary ",negative,-0.3333333333333333
RT  Where does this pirate wanna see Hillary Clinton?  #TalkLikeAPirateDay ,neutral,0.0
#politics De Blasio endorses Hillary Clinton for president,neutral,0.0
"RT  How Hillary Doomed Her 'Inevitable Presidency' -Book is tough read but gives amazing insights, including on Bernie. http…",positive,0.0703703703703704
RT  Hot new #WIKILEAKSDUMP! Hillary admits she's . OUT OF TOUCH! BRAGGING ABOUT THE FORTUNES HER HUSBAND AND HER NOW ENJOY!!#PAC…,positive,0.23153409090909088
"RT  #TrumpStrong Ya right, After  ~~&gt; #SorosRiots &amp; #HillaryRiots don't think U assfucks R getting anywhere near the White…",positive,0.19285714285714284
"RT  Hillary Clinton Reportedly Considering Launch of Liberal TV Show. What an IDIOT! Haha ""Bad Judgement"" -Donald Trump  h…",negative,-0.5
"Clinton, Pence, Kaine, Romney to visit Valley ",neutral,0.0
"RT  Hillary attempts a snarky dig at President Trump over 9th Circuit ruling, and it couldn’t have gone worse ",negative,-0.4
"RT  #RubioCrimeSpree Covered up an ambassador's pedophilia just to avoid a scandal. Got me, that was Hillary too #tcot http:…",neutral,0.0
RT  Lack of daily news concerning oligarchic nepotist Chelsea Clinton causes anxiety and panic for millions across United States.,neutral,0.0
RT  DNC Chair candidate Perez Gave Clinton Donors Huge Tax Breaks #p2 #1u #PDA #uniteblue #BERNIEorBUST #VTpoli ,positive,0.4000000000000001
RT  A suggestion  for your next cover.  #PodestaEmails15 #NeverHillary  ,neutral,0.0
RT  How old is Hillary? Did she ever vacation in the Swiss Alps?  ,positive,0.1
"RT  #ThingsMoreTrustedThanHillary  Barack Obama saying, “If you like your doctor, you can keep your doctor.”",neutral,0.0
The Wizard of Hi #MakeAMovieHillary,neutral,0.0
RT  Hillary HONORS THUG BREEDING MOMS NOT MILITARY HERO MOMS ,positive,0.05
#politics Hillary Clinton keeps calm as she fields Benghazi questions,positive,0.30000000000000004
#politics Clinton Calls 11-Hour Benghazi Testimony a 'Pretty Long Day',positive,0.1
RT  MT  Hillary Blabbed Murdered Ambassador's Stevens Movements In Emails.  #OhHillNo #PJNET ,neutral,0.0
RT  . on Possible New Special Counsel: Clinton 'Put Us At Risk By Selling a Quarter of US Uranium' ,positive,0.1645021645021645
Clinton and Trump React to Tragedy in Dallas  #politics,neutral,0.0
