user,tweet,location,date,sentiment
NY For Sanders #Bernie2020,lol they’ve really got nothing,"New York, USA",2020-01-14 15:08:29,positive
Lynda Avanzato,Wow.  They want Gulags for conservatives.  That's not a joke,None,2020-01-14 15:08:29,positive
MaryAnn Lang 🇺🇸 🐾🐾,"RT @cindyseestruth: 🚨BREAKING... @Project_Veritas UNDERCOVER ON BERNIE CAMPAIGN..

Bernie taught his staffers well, they are willing to bur…","deplorables, NJ ",2020-01-14 15:08:29,positive
The Educated Latino,"RT @charliekirk11: In 2016, when 6 Republicans were left 50% were minorities:

Trump
Cruz
Rubio
Carson
Kasich
&amp; Jeb!

Today, 6 Democrats ar…",United States,2020-01-14 15:08:29,neutral
Mini Bill B🐙,the bernie/warren feud leaves me disgusted with both so i am now a democratic primary free agent. @MikeBloomberg an… https://t.co/4CPnOyomUy,"Minneapolis, MN",2020-01-14 15:08:29,negative
Sara Loya,RT @tracybeanz: Wow. Bernie field organizers planning on violent attacks in Milwaukee if Bernie doesn’t grab the nom? “Free college” is act…,None,2020-01-14 15:08:29,negative
Polly bernard,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Freeville,2020-01-14 15:08:29,negative
Elizabeth Bell,"RT @parscale: Big Democrat debate in Iowa tonight.

Based on the last two weeks and their reaction to @realDonaldTrump’s strong defense of…","Florida, USA",2020-01-14 15:08:29,positive
real_Jeff Berk ❌ #Trump2020 #KAG,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",United States,2020-01-14 15:08:30,positive
Deplorable Chuck,RT @sexyasspatriot: And here it is folks get ready it’s gonna get nasty🤬🤬🤬,None,2020-01-14 15:08:30,positive
🇺🇸Weezy🇺🇸 🌟🌟🌟,"RT @CatesDuane: @JamesOKeefeIII @BernieSanders There it is!
“Disagree with Bernie Bro’s?”
“Voted for ORANGE HITLER?”
YOU. MUST. PAY!

F**K…",Nevada,2020-01-14 15:08:30,neutral
BooRadleysGhost,".@TheView .@SenWarren .@BernieSanders
   Bernie Sanders won't rule out presidential bid, touts Elizabeth Warren… https://t.co/GCPrjcLjbV",None,2020-01-14 15:08:30,neutral
PWM (William) 🇺🇸 Biden2020 #LiberalOrBust🥀,@CandaceTX @laughingliberal Bernie 2016 website took down this picture. https://t.co/OlbVwHv3Xd,"Florida, USA",2020-01-14 15:08:30,negative
Teri Gidwitz,"RT @PatTheBerner: #RefundWarren
Even the Bernie-hating Washington Post refutes Warren's story.

Goodbye Warren. https://t.co/A6ShB9gojL",Chicago,2020-01-14 15:08:30,neutral
Karen Heaberlin,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…","Ohio, USA",2020-01-14 15:08:30,positive
