user,tweet,location,date,sentiment
PaulieV,RT @paulie2000: And sadly mentally deficient sad old Joe Biden is in bed with these same corporations. They fund the dem party + give milli…,St. Louis,2020-01-14 16:14:12,negative
🔥🇨🇦SIKHS4️⃣WEST🇺🇸🔥,RT @tleehumphrey: Wow the excitement of seeing Uncle Joe is indescribable 😂,"Toronto, Ontario",2020-01-14 16:14:12,positive
DRITtheKID❌,@MariaBartiromo @MorningsMaria @FoxBusiness this is a guy connected to crowdstrike now part of the new Dem security… https://t.co/tJJvLPPB7z,None,2020-01-14 16:14:12,positive
jojo mojo,"RT @JoyceWhiteVance: You probably saw this season 3 plot twist coming-Russia hacked Burisma, where Hunter Biden was on the board, after the…",None,2020-01-14 16:14:13,neutral
Ryan M. Elles🏳️‍🌈,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…","Pensacola, FL",2020-01-14 16:14:14,neutral
"Cole, Purr Fact",Steyer ahead of warren lol @accountantkitty,"Washington, DC",2020-01-14 16:14:15,positive
Evan Hurst,Maybe we’ll get Hunter Biden’s risotto recipe out of this!  https://t.co/Ugm5ClswuN,None,2020-01-14 16:14:15,neutral
William Owen,Maybe Biden was just ahead of his time? Loving on war criminals is trendy now. All the cool kids do it.… https://t.co/wszfovdFI5,"Moscow, Russia",2020-01-14 16:14:14,positive
Boomer Advice ~ Vote for Bernie,"#Bernie2020 is #Trusted 
#ITrustBernie to fight for:
#MedicareForAll 
#Cannabis food in prohibition since 1915… https://t.co/94UXu5cCr1",Planet Earth,2020-01-14 16:14:15,neutral
Carol Diaz,RT @Amy_Siskind: LOL.  I am calling on @GOPLeader to suspend his enabling of a puppet regime installed by Putin.,"Queens, NY",2020-01-14 16:14:16,positive
GinaTexasLatina,"RT @GabbieKDrice: TBH I hate everyone and crap on all of them, unless they’re up against Bernie Sanders. Then I am on their team just to ge…",san antonio,2020-01-14 16:14:16,negative
