tweet,sentiment,polarity_score
RT  This guy has it right.   #TrumpIsComing ,positive,0.2857142857142857
Pence: Trump Immigration Plan Begins With Border Security  #politics,neutral,0.0
RT  Lawbreaker Rahm Emanuel Vs Trump on Sanctuary Cities - American Thinker  - #MAGA #PJNET 111 http…,neutral,0.0
"Kathleen Willey: Hillary is a fake feminist. A champion of women does not attack the victims of sexual assault and rape."" #WomenWhoVoteTrump ",neutral,0.0
RT  Hillary seen selling fake drugs in the hood #TrumpsFavoriteHeadline,negative,-0.5
RT  VIDEO : TMZ Founder Harvey Levin SLAMS LIBERALS for Criticizing his Meeting With Trump  #maga #tr…,neutral,0.0
RT  This is not a knock on Obama...but Trump makes Obama look like he could solve the mysteries of the universe. That how…,neutral,0.0
RT  Hate Group Leader Calls on Trump to Lead Witch-Hunt of Pro-LGBT Officials  #p2 #p2b #ctl,negative,-0.8
"RT  No, that's reality in Trump's 🌎... ",neutral,0.0
RT  German Feminazis Chant “Allahu Akbar” at Islamist-Backed “Women’s March” -  #ImpeachTrump,neutral,0.0
#ICelebrateTrumpWith calling him a good boy ,positive,0.7
A fact-check of Trump's stump speech  #politics ,neutral,0.0
Elizabeth Warren has a message for Donald Trump: ‘Nasty women vote’  #politics,negative,-1.0
"Hey, play with me! #TrumpenASong  I got my mind sell on you! *POTUS LOGO*",neutral,0.0
RT  Like I'm not worried about these red-hat assholes. Who voted for Trump on the low? THERE'S your trouble. ,negative,-0.1
Trump Voter Fraud Charge Not Scaring Local Election Officials ,neutral,0.0
"RT  Newt Gingrich: Establishment Scared of Trump Because He ""Didn't Belong to the Secret Society"" ",negative,-0.4
Is the FBI sitting on information that could hurt Donald Trump? ,neutral,0.0
RT  Obama gives rise to ISIS to cause the Islamization of Europe and greatest refugee crisis since WWII but Trump's tax ret…,positive,1.0
"Romney calling Trump 'phony,' urging Republicans to shun him  #StLouis",neutral,0.0
RT  ▶ Trump advocate: Media needs to ignore Trump accusers being ‘rolled out’ to ‘man-shame’ him  ,neutral,0.0
RT  SCHIFF after seeing the documents at the whitehouse yesterday.  #winning #POTUS #LIBERAISMISAMENTALDISEASE #TRUMP #wiretap…,positive,0.5
RT  RT  Why Vote 4 TRUMP?  &gt; SUPREME COURT &gt; BORDER WALL &gt; RID ISIS &gt; ILLEGAL IMMIGRATION &gt; Better TRADE DEALS &gt; Economy/JOBS &gt;…,neutral,0.0
RT  Gasparino: This Is the Speech Trump Should Give Every Day Until November 8 |  ,neutral,0.0
Judge approves Trump University settlement  ,neutral,0.0
Michael Moore: Trump 'Won' The First Presidential Debate ,positive,0.25
RT  Some Lefties threatning to leave if Trump is elected....now how about that ..already job creation....packers &amp; movers,neutral,0.0
"#Trump's response to breast-pumping isn’t presidential, lawyer says ",neutral,0.0
RT  Chris Matthews is still having a ‘hard time’ saying ‘President Trump’ – TheBlaze -  ,negative,-0.2916666666666667
RT  Whether or not Trump can count on your support  #RejectedDebateTopics,neutral,0.0
RT  ▶ Drumpf Digest: All of Donald Trump’s Follies in One Scroll ,neutral,0.0
RT  Leading  'BUTCHER TO BUTTER UP BUSINESSMAN' -  #Aleppo #Trump #Assad ,neutral,0.0
"RT  It's about time!  ""The world saw all of a sudden, this is a president who's not afraid to use force.""  #MAGA #TRUMP https:…",positive,0.15
True fact: Whether you like it or not #TrumpProtest is basically an anti-American rally. That costed taxpayers' money btw ,positive,0.35
RT  #Hannity: Will Media Apologize After #Trump 'Proven Right' on Surveillance Claims? ,positive,0.2857142857142857
RT  “Last night I congratulated Donald Trump and offered to work with him on behalf of our country.” —Hillary,neutral,0.0
WATCH:  slams “hoax” group claiming to pay protesters at Trump #inauguration.   Tucker is the man! ,neutral,0.0
i really admire this about you  #draintheswamp #maga  #TrumpForPresident,positive,0.2
Alec Baldwin is winning in new ‘SNL’ role as Donald Trump ,positive,0.3181818181818182
"RT  Just spoke to Putin. Fantastic, great guy. Knows a great deal when he sees it. Sold him the White House! #probabletrumpstwe…",positive,0.5
"The telephone protocol of Donald Trump, explained ",neutral,0.0
"Everything President Trump has said about Comey's testimony, ranked ",neutral,0.0
Immigrant Groups Rally Around Country as Message to Trump  ,neutral,0.0
"We had 16 great Candidates, Trump won &amp; Hillary had nothing to offer but an extention of Obamas misery &amp;delusional success #LeftieFraudsters",positive,0.55
"Trump wants members of Congress to personally feel the pain of Obamacare, Mulvaney says ",positive,0.1
Trump denies actions he bragged about on tape ,neutral,0.0
RT  Being politically correct takes too much time. We have too much to get done! #Trump2016  https:…,positive,0.15
Trump diehards defend ‘grab them’ tape; Trump critics pine for Pence  #politics,neutral,0.0
RT  Donald Trump sums up his feelings on lying Ted in a pretty funny clip from NRA stage  ,positive,0.25
Trump to host Jordan's King Abdullah on April 5: White House ,neutral,0.0
#PBS Suspends Tavis Smiley Following Sexual Misconduct Investigation! It's a real Trump Curse Alert! 😆 Rabid anti-Trumper gets suspended!  ,positive,0.3125
RT  Donald Trump is a great buisnessman but he has zero experience in government and government doesn't work like a business #E…,positive,0.8
"Palin on Trump protesters: 'Punk-ass, little thuggery'  #politics",negative,-0.1875
Trump is stupid enough to think that by firing these people they can no longer testify against him. The FBI will go into hyper speed to take trump this pseudo dictator down.. ,negative,-0.3185185185185185
Will N.J. Republicans follow Christie and back Trump?,neutral,0.0
"RT LeonZouzalik: Team_Trump45 Soros and friends need to be rounded upandbroughttojustice forTreason, and starting … ",neutral,0.0
P.G.A. Moves Event From Donald Trump Golf Course  #sports,neutral,0.0
RT  The highlighted is for Hillary or trump trolls &amp; those who want to settle and don't want it called slavery$drudgery https:/…,neutral,0.0
RT  Montana Tribe Sues Trump Administration For Lifting Coal Moratorium | The Huffington Post ,neutral,0.0
RT  Convicted Criminal   Showed Off Just How Classy She Is When She Flipped Off A Picture Of President Trump At An Art…,negative,-0.15000000000000002
"'Self-absorbed' idiot. #Trump plans to flee Washington D.C. for his private resort in Florida, as the government nears a #shutdown. To throw a party that costs $100 000-per-couple. Nice one, Mr. President!",negative,-0.01666666666666668
"Analysis: Clinton, Trump tax plans are ""mirror images"" ",neutral,0.0
"RT  Watch: Rosie O’Donnell comes unhinged, rails against Trump in protest outside the White House  https:/…",neutral,0.0
RT  Candidate Trump often criticized political correctness…  and  react next to recent PC example…,neutral,0.0
RT  Flint Fighting Back-TATM Is There  #FuckTrump,neutral,0.0
#Clintons have been rigging the #CorruptMedia for years. #ClintonCorruption #NeverHillary  #Election2016 #Trum… #TrumpForPresident,neutral,0.0
RT  As I've been sayin👇the Hillary/MSM attempt to make Trump a RUSSIAN🕵AGENT is COMICAL! 😂 Newt &amp;  agree! https:/…,positive,0.78125
RT  Donald Trump: A Man of Action ,positive,0.1
"Lashing back, Trump calls accusers 'horrible horrible liars' ",negative,-0.6666666666666666
RT  Good summary 👉#ObamaGate #WireTap #TrumpTower       ,positive,0.7
"RT  Ppl who looked the other way as Obama armed ISIS, now think they know what treason is.  It's pretty amusing.  #TrumpImpe…",positive,0.24166666666666667
RT  Vice President Pence’s power grows in Trump’s White House  house#.WKYOOL2gXoo.twitterMy Trust Is…,neutral,0.0
 I like Trump. He has no filters. It's what this country needs,neutral,0.0
